iter	Logloss
0	0.6031149966
1	0.5357467799
2	0.4812460594
3	0.4399785503
4	0.4091133769
5	0.3850889967
6	0.3667221503
7	0.3520277182
8	0.3407753305
9	0.3321967904
10	0.3260629907
11	0.3212530105
12	0.3167475905
13	0.3129611854
14	0.3095189482
15	0.3065526899
16	0.3042138572
17	0.3025246524
18	0.300996261
19	0.3002686538
20	0.2990085062
21	0.2980564317
22	0.2972455415
23	0.2964870702
24	0.2956970346
25	0.294915887
26	0.2943518585
27	0.2939439629
28	0.2936935373
29	0.293424642
30	0.2929737366
31	0.2925374618
32	0.2922975798
33	0.2919273484
34	0.2916138261
35	0.291387463
36	0.291165686
37	0.290864948
38	0.2906902844
39	0.2903929122
40	0.2901490511
41	0.2899060495
42	0.2898549227
43	0.2896185047
44	0.2894362061
45	0.2893550527
46	0.2892450631
47	0.289170323
48	0.2891029036
49	0.2888973542
50	0.2887973719
51	0.2887336826
52	0.288554621
53	0.2884732645
54	0.2882157824
55	0.2880816112
56	0.2880038345
57	0.2878748537
58	0.2877954369
59	0.2876664445
60	0.2870726476
61	0.2869618389
62	0.286904485
63	0.2868309523
64	0.286830943
65	0.2866743285
66	0.2866113903
67	0.2864599278
68	0.2864302346
69	0.2863037957
70	0.2862946511
71	0.286257556
72	0.2862545297
73	0.2861409761
74	0.2859845222
75	0.285755471
76	0.2856137565
77	0.285544653
78	0.2854882835
79	0.2854392486
80	0.2853996652
81	0.2853710294
82	0.2852967123
83	0.2852300262
84	0.2850037513
85	0.2849078399
86	0.2849077046
87	0.2848731393
88	0.2847339312
89	0.2846774589
90	0.2845612276
91	0.2845495599
92	0.2844710922
93	0.2844299113
94	0.2843218911
95	0.2842340091
96	0.2839021696
97	0.283875102
98	0.2838204334
99	0.2838177694
100	0.2837966285
101	0.2837378449
102	0.2837059883
103	0.2836347899
104	0.2836329491
105	0.28351404
106	0.2833986612
107	0.2833715873
108	0.2832138747
109	0.2831361316
110	0.2830261085
111	0.2829706834
112	0.2829361301
113	0.2829302584
114	0.282671619
115	0.2826674416
116	0.2826394528
117	0.2825993337
118	0.2825185471
119	0.2824231386
120	0.2822725392
121	0.2822302041
122	0.2821965454
123	0.2821740403
124	0.282165505
125	0.2819958015
126	0.2819510311
127	0.2819273061
128	0.2818225623
129	0.2817827057
130	0.2817711089
131	0.2815853237
132	0.2814708821
133	0.2812807016
134	0.281276236
135	0.2812745218
136	0.2812460505
137	0.2812445356
138	0.2811370963
139	0.2810992724
140	0.2810498064
141	0.2809613269
142	0.2808416182
143	0.2806538635
144	0.2805105445
145	0.2804675333
146	0.2802844547
147	0.2800517144
148	0.2800415887
149	0.2800109669
150	0.279801095
151	0.2797458671
152	0.2796097109
153	0.2795116909
154	0.2794559179
155	0.2793400006
156	0.2791794514
157	0.2791152676
158	0.2790780404
